Sample	Edge_num	Classification	Size	Coverage	Completeness	Contamination	GC	tRNA_genes	rRNA_genes	Class2	Filename
GAC7	bin.1232_1	M3007	6221462	13.34	93.32	0.66	53.20	 48	 6	Genus	2-T4_may14-21+bin.1232_1
GAC3	13374	CAKKSB01	3646628	178.18	98.22	1.42	60.93	 45	 3	Genus	9-gac_march_02-20+13374
GAC3	bin.1013_1	SXRF01	1971299	15.38	95.60	0.10	55.28	 43	 3	Family	9-gac_march_02-20+bin.1013_1
GAC2	bin.191_3	Vineibacter	6456257	14.36	95.85	1.09	68.03	 50	 6	Genus	3-T4_feb14-20+bin.191_3
GAC6	309	JABWBZ01	4063652	20.97	93.16	1.10	45.65	 48	 3	Genus	4-T3_may7-21+309
GAC3	bin.747_1	UBA11222	3175391	14.64	97.40	0.43	57.38	 47	 3	Genus	9-gac_march_02-20+bin.747_1
GAC2	11871	Aestuariivirga	3395820	5.95	91.21	0.00	57.00	 50	 3	Genus	3-T4_feb14-20+11871
GAC7	bin.915_2	Methylophilaceae	2323014	21.64	97.09	0.00	55.42	 46	 5	Family	2-T4_may14-21+bin.915_2
GAC7	bin.442_1	LNEJ01	2875528	30.81	97.47	0.79	56.32	 47	 5	Genus	2-T4_may14-21+bin.442_1
GAC3	14643	UBA920	1095357	6.75	67.73	1.98	40.47	 44	 3	Family	9-gac_march_02-20+14643
GAC5	bin.596_1	JACADY01	3260599	102.78	98.70	0.00	65.51	 47	 6	Genus	5-T2_may3-21+bin.596_1
GAC5	3906	UBA2112	1186613	13.36	70.83	0.93	46.65	 42	 3	Genus	5-T2_may3-21+3906
GAC7	288	Fen-1342	4045482	21.20	79.69	2.27	67.00	 50	 3	Family	2-T4_may14-21+288
GAC6	3344	JAGORM01	1284052	43.68	75.71	0.00	40.25	 44	 3	Genus	4-T3_may7-21+3344
GAC6	2268	Accumulibacter	5073355	25.74	98.50	0.00	61.74	 56	 4	Genus	4-T3_may7-21+2268
GAC8	24942	UBA9219	1620291	8.76	93.96	1.10	51.57	 42	 3	Order	1-T1_aug10-21+24942
GAC3	bin.771_10	LNEJ01	2154841	26.11	71.27	0.00	56.21	 37	 0	Genus	9-gac_march_02-20+bin.771_10
GAC4	bin.73_1	CAIKBL01	4993934	13.33	93.15	3.79	68.16	 49	 3	Genus	6-T2_oct6-20+bin.73_1
GAC6	bin.113_1	CAKKSB01	3646665	17.17	96.65	1.42	60.97	 45	 2	Genus	4-T3_may7-21+bin.113_1
GAC6	2932	CAKKSB01	3646456	17.26	97.79	1.25	60.96	 45	 2	Genus	4-T3_may7-21+2932
GAC8	6081	CAKKSB01	3646764	15.83	97.56	1.18	60.93	 45	 3	Genus	1-T1_aug10-21+6081
GAC4	419	SBBG01	3110780	77.97	98.59	0.56	59.76	 46	 3	Genus	6-T2_oct6-20+419
GAC4	bin.666_4	JAJVID01 sp022072205	8229280	106.11	95.73	3.85	57.72	 79	 3	Species	6-T2_oct6-20+bin.666_4
GAC6	bin.618_2	CAINVI01 sp016713765	3866638	22.11	98.57	0.71	53.28	 44	 3	Species	4-T3_may7-21+bin.618_2
GAC8	bin.941	OLB17	3286895	10.70	85.18	0.85	58.04	 50	 3	Genus	1-T1_aug10-21+bin.941
GAC3	2748	UBA920	1099318	9.53	70.30	0.00	45.63	 50	 3	Family	9-gac_march_02-20+2748
GAC3	4966	Tepidiforma	2409516	12.23	82.14	1.10	67.53	 46	 3	Genus	9-gac_march_02-20+4966
GAC2	690	Manganitrophus	4727690	230.98	80.37	0.96	55.75	 48	 3	Genus	3-T4_feb14-20+690
GAC5	1636	CAKKSB01	3646675	33.14	98.16	1.42	60.93	 45	 2	Genus	5-T2_may3-21+1636
GAC3	1330	ELB16-189	4521528	22.16	97.60	0.60	45.61	 45	 6	Genus	9-gac_march_02-20+1330
GAC4	5287	Peribacterales	1398011	12.69	84.56	0.33	49.30	 43	 3	Order	6-T2_oct6-20+5287
GAC6	bin.302_1	Macondimonas sp021783685	2514379	128.84	97.70	0.00	66.95	 45	 3	Species	4-T3_may7-21+bin.302_1
GAC3	bin.90_1	VGXM01	3390321	54.35	87.29	0.00	67.72	 48	 3	Genus	9-gac_march_02-20+bin.90_1
GAC0	4282	Manganitrophus morganii	4234151	56.00	97.22	2.73	56.28	 46	 3	Species	8-carbon_granules4+4282
GAC7	bin.837_11	OLB17	4111731	13.72	94.18	1.71	54.39	 44	 3	Genus	2-T4_may14-21+bin.837_11
GAC4	4053	Peribacteraceae	1649193	9.67	70.83	1.85	57.00	 50	 3	Family	6-T2_oct6-20+4053
GAC3	bin.780_3	TMP-24	3111328	12.24	95.83	0.00	64.71	 43	 3	Genus	9-gac_march_02-20+bin.780_3
GAC3	476	SBBG01	3118502	145.76	97.00	0.44	59.72	 46	 3	Genus	9-gac_march_02-20+476
GAC3	1384	Manganitrophaceae	3312699	39.20	94.84	0.91	54.91	 46	 3	Family	9-gac_march_02-20+1384
GAC7	14392	JAGORM01	1279697	31.73	77.43	0.00	40.23	 44	 3	Genus	2-T4_may14-21+14392
GAC8	bin.1128_3	Sphingobium	3239546	7.02	97.75	0.94	59.66	 52	 3	Genus	1-T1_aug10-21+bin.1128_3
GAC6	1770	JAJVID01 sp022072205	8282245	21.89	95.73	3.85	57.74	 80	 3	Species	4-T3_may7-21+1770
GAC6	bin.663_1	Fen-1342	4366221	27.02	84.02	0.00	67.06	 51	 3	Family	4-T3_may7-21+bin.663_1
GAC7	bin.756_6	JACADY01	3256205	223.97	99.13	0.00	65.54	 47	 5	Genus	2-T4_may14-21+bin.756_6
GAC4	bin.228_38	JAJVHZ01	3769889	24.03	96.03	2.17	67.67	 49	 3	Genus	6-T2_oct6-20+bin.228_38
GAC4	bin.321_1	JACADY01	3162915	49.34	98.69	0.00	65.64	 48	 6	Genus	6-T2_oct6-20+bin.321_1
GAC7	7443	CAKKSB01	3646825	59.07	97.47	1.42	60.95	 45	 3	Genus	2-T4_may14-21+7443
GAC2	595	SBBG01	3117177	39.40	98.51	0.56	59.73	 46	 3	Genus	3-T4_feb14-20+595
GAC5	bin.252_9	UBA9219	1905609	32.07	94.98	0.44	50.00	 46	 3	Family	5-T2_may3-21+bin.252_9
GAC4	2786	OLB17	3467754	155.88	96.58	1.71	57.86	 49	 3	Genus	6-T2_oct6-20+2786
GAC4	bin.257_2	OLB17	3287367	142.00	92.26	0.85	58.04	 50	 3	Genus	6-T2_oct6-20+bin.257_2
GAC9	13052	UBA1573	2193975	20.24	91.74	0.88	48.99	 39	 3	Genus	10-T3_apr21-22+13052
GAC3	7970	Manganitrophaceae	3698791	23.82	87.87	0.23	54.99	 47	 3	Family	9-gac_march_02-20+7970
GAC0	10	LNEJ01	2922228	18.90	96.65	0.79	56.27	 47	 6	Genus	8-carbon_granules4+10
GAC2	1044	JAJVHZ01	4194985	32.11	97.42	1.70	63.80	 49	 3	Genus	3-T4_feb14-20+1044
GAC7	1113	UBA1924	3149124	14.34	64.27	1.14	66.51	 34	 3	Family	2-T4_may14-21+1113
GAC2	bin.761_3	JAEUIA01	4829998	53.16	95.64	3.76	68.97	 48	 3	Genus	3-T4_feb14-20+bin.761_3
GAC9	5178	OLB17	3265489	9.42	81.33	0.85	57.05	 56	 3	Genus	10-T3_apr21-22+5178
